Row Number,GCCSA Code 2021,GCCSA,State,Postcode,Postcode Area (sq km),GCCSA Area (sq km)
1,1GSYD,Greater Sydney,New South Wales,2000,4.2871,12368.6858
2,1GSYD,Greater Sydney,New South Wales,2007,0.5588,12368.6858
3,1GSYD,Greater Sydney,New South Wales,2008,0.845,12368.6858
4,1GSYD,Greater Sydney,New South Wales,2009,0.9299,12368.6858
5,1GSYD,Greater Sydney,New South Wales,2010,2.1733,12368.6858
6,1GSYD,Greater Sydney,New South Wales,2011,1.4054,12368.6858
7,1GSYD,Greater Sydney,New South Wales,2015,4.2157,12368.6858
8,1GSYD,Greater Sydney,New South Wales,2016,1.1717,12368.6858
9,1GSYD,Greater Sydney,New South Wales,2017,1.9386,12368.6858
10,1GSYD,Greater Sydney,New South Wales,2018,3.9305,12368.6858
11,1GSYD,Greater Sydney,New South Wales,2019,7.3691,12368.6858
12,1GSYD,Greater Sydney,New South Wales,2020,11.9607,12368.6858
13,1GSYD,Greater Sydney,New South Wales,2021,5.7186,12368.6858
14,1GSYD,Greater Sydney,New South Wales,2022,1.9228,12368.6858
15,1GSYD,Greater Sydney,New South Wales,2023,2.3731,12368.6858
16,1GSYD,Greater Sydney,New South Wales,2024,1.9321,12368.6858
17,1GSYD,Greater Sydney,New South Wales,2025,1.2307,12368.6858
18,1GSYD,Greater Sydney,New South Wales,2026,3.6477,12368.6858
19,1GSYD,Greater Sydney,New South Wales,2027,1.3761,12368.6858
20,1GSYD,Greater Sydney,New South Wales,2028,0.7929,12368.6858
21,1GSYD,Greater Sydney,New South Wales,2029,2.5286,12368.6858
22,1GSYD,Greater Sydney,New South Wales,2030,4.6636,12368.6858
23,1GSYD,Greater Sydney,New South Wales,2031,6.094,12368.6858
24,1GSYD,Greater Sydney,New South Wales,2032,2.475,12368.6858
25,1GSYD,Greater Sydney,New South Wales,2033,2.6691,12368.6858
26,1GSYD,Greater Sydney,New South Wales,2034,3.0497,12368.6858
27,1GSYD,Greater Sydney,New South Wales,2035,8.1207,12368.6858
28,1GSYD,Greater Sydney,New South Wales,2036,15.7131,12368.6858
29,1GSYD,Greater Sydney,New South Wales,2037,2.1374,12368.6858
30,1GSYD,Greater Sydney,New South Wales,2038,1.4931,12368.6858
